Disabled,Type,Set,Position,Sign,Weight,Type Relative,Relative Set,Relative,Factor
False,Classes,Industry,Banks,<=,0.1,,,,
False,Classes,Industry,Beverages,<=,0.07,,,,
False,Classes,Industry,Chemicals,<=,0.1,,,,
False,Classes,Industry,Food Producers,<=,0.02,,,,
False,Classes,Industry,Financial Services,<=,0.02,,,,
False,Classes,Industry,General Industrials,<=,0.02,,,,
False,Classes,Industry,Electronic and Electrical Equipment,<=,0.02,,,,
False,Classes,Industry,Investment Banking and Brokerage Services,<=,0.02,,,,
False,Classes,Industry,Health Care Providers,<=,0.02,,,,
False,Classes,Industry,Industrial Metals and Mining,<=,0.02,,,,
False,Classes,Industry,Personal Care Drug and Grocery Stores,<=,0.02,,,,
False,Classes,Industry,Retailers,<=,0.02,,,,
False,Classes,Industry,Software and Computer Services,<=,0.02,,,,
False,Classes,Industry,Precious Metals and Mining,<=,0.02,,,,
False,Classes,Industry,Tobacco,<=,0.07,,,,
False,Classes,Industry,Pharmaceuticals and Biotechnology,<=,0.05,,,,
False,Classes,Industry,Travel and Leisure,<=,0.09,,,,
False,Classes,Industry,Personal Goods,<=,0.02,,,,
False,Classes,Industry,Telecommunications Service Providers,<=,0.02,,,,
False,Classes,Industry,Bonds,<=,0.2,,,,
False,Classes,Industry,Industrial Support Services,<=,0.04,,,,